Molecule ChEMBL ID,pIC50,AlogP,MW
CHEMBL6633,7.05,0.45,265.3
CHEMBL6705,5.58,-0.08,172.21
CHEMBL6724,6.21,0.68,251.1
CHEMBL6784,5.52,-0.13,201.25
CHEMBL6853,5.52,0.06,190.2
CHEMBL6919,5.24,-0.17,187.22
CHEMBL7002,7.07,3.93,333.45
CHEMBL7087,5.51,-0.16,200.26
CHEMBL7092,6.25,0.57,206.65
CHEMBL7204,7.1,-0.38,187.22
CHEMBL734,4.33,-0.49,75.07
CHEMBL865,5.34,2.96,314.37
CHEMBL898,5.57,3.04,250.2
CHEMBL97034,4.86,0.28,167.1
CHEMBL97709,5.1,1.99,235.22
CHEMBL97951,5.04,1.45,221.19
